Goa TSP Downloading Status,,,,,,,,
State,State_Code,District,District_Code,Block,Block_Code,Downloaded_Status,Phase,REMARK
GOA                                               ,30,NORTH GOA                                         ,585,BARDEZ                                            ,5929,No                                                                                                  ,2,NOFN NOT FOUND IN PRIMAVERA
GOA                                               ,30,NORTH GOA                                         ,585,BICHOLIM                                          ,5930,No                                                                                                  ,2,NOFN NOT FOUND IN PRIMAVERA
GOA                                               ,30,NORTH GOA                                         ,585,PERNEM                                            ,5931,No                                                                                                  ,2,NOFN NOT FOUND IN PRIMAVERA
GOA                                               ,30,NORTH GOA                                         ,585,PONDA                                             ,5932,No                                                                                                  ,2,NOFN NOT FOUND IN PRIMAVERA
GOA                                               ,30,NORTH GOA                                         ,585,SATARI                                            ,5933,No                                                                                                  ,2,NOFN NOT FOUND IN PRIMAVERA
GOA                                               ,30,NORTH GOA                                         ,585,TISWADI                                           ,5934,No                                                                                                  ,2,NOFN NOT FOUND IN PRIMAVERA
GOA                                               ,30,SOUTH GOA                                         ,586,CANACONA                                          ,5935,No                                                                                                  ,2,NOFN NOT FOUND IN PRIMAVERA
GOA                                               ,30,SOUTH GOA                                         ,586,MORMUGAO                                          ,5936,No                                                                                                  ,2,NOFN NOT FOUND IN PRIMAVERA
GOA                                               ,30,SOUTH GOA                                         ,586,QUEPEM                                            ,5937,No                                                                                                  ,2,NOFN NOT FOUND IN PRIMAVERA
GOA                                               ,30,SOUTH GOA                                         ,586,SALCETE                                           ,5938,No                                                                                                  ,2,NOFN NOT FOUND IN PRIMAVERA
GOA                                               ,30,SOUTH GOA                                         ,586,SANGUEM                                           ,5939,No                                                                                                  ,2,NOFN NOT FOUND IN PRIMAVERA
