a.konduru,6462
gollamandala,3387
gopalapuram,4164
kambhampadu,1052
koduru,14747
krishnaraopalem,901
kummarikuntla,1632
madhavaram,1204
marepalli,1508
repudi,4918
vallampatla,2548
adavinekkalam,5937
boddanapalli,500
chinnagiripalli,13283
chopparametla,1513
edulagudem,2924
gollagudem,7235
kalaturu,1546
kanasanapalli,1956
kotha edara,9525
krishnavaram,1698
narasingapalem,1677
nugondapalli,1335
pinnamareddipalli,1137
pothavarappadu,894
s.a.peta,4936
sagguru,1280
suravaram,2896
thotapalli,1673
vadlamanu,2076
vattigudipadu,518
aswaraopalem,2187
avanigadda,23737
edlanka,1002
modumudi,4256
puligadda,3350
vekanuru,4963
amudalapalli,614
arthamuru,4080
bantumilli,6867
barripadu,854
chinapandraka,5448
chinathummidi,919
kanchadam,1754
korlapadu,500
malaparajugudem,6112
malleswaram,2639
manimeswaram,1571
mulaparru,5380
munjuluru,1996
nagannacheruvu,5935
pendurru,2579
ramavarapumodi,1582
sathuluru,1581
arugolanu,3466
bandarugudem,2661
bapulapadu,15223
billampalli,1567
bommuluru,2332
chiriwada,500
dantaguntla,858
kakulapadu,2097
kodurupadu,4114
kothapalli,924
koyyuru,1586
madicherla,4069
mallavalli,5082
ogirala,1882
ramannagudem,765
rangannagudem,1829
remalli,3779
sitharampuram(a),4110
sitharampuram(k),8002
telaprolu,8984
thippanagunta,466
veeravalli,6775
veleru,4655
amudalalanka,3620
challapalli,17067
lakshmipuram,12925
majeru,3998
mangalapuram,3983
pagolu,2950
puritigadda,2034
vakkalagadda,3012
velivolu,1489
yarlagadda,1640
bobbillapadu,500
chandarlapadu,270
chintalapadu,4361
eturu,3115
gudimetla,4516
kandrapadu,543
kasarabada,1288
kodavatikallu,4112
konayapalem,500
munagalapalli,1353
muppalla,5877
pokkunuru,1941
popuru,676
punnavalli,910
thotaravulapadu,3516
turlapadu,4390
veladikothapalem,2722
vibhareetalapadu,1444
arugolanu peta,1694
burugugudem,1841
chatrai,4613
cheepurugudem,5874
chinnampeta,3446
chittapur,4004
janardhanavaram,2314
kothagudem,500
marlapalem,4585
parvathapuram,1117
polavaram,3345
pothanapalli,2632
somavaram,1324
tummagudem,4391
atkuru,1409
ch madhavaram,2912
chevuturu,3256
china nandigama,1253
duggiralapadu,1063
g konduru,8158
gaddamanugu,136
ganginenipalem,2619
gurrajupalem,915
h mutyalampadu,1393
kandulapadu,586
koduru,14747
kowluru,8067
kuntamukkala,3616
pinapaka,500
sunnampadu,770
telladevarapadu,600
velagaleru,5057
vellaturu,4617
venkatapuram,1347
arlapadu,2974
chintalanarva,4924
gadevarigudem,7633
gampalagudem,8256
gosaveedu,2914
gullapudi,5459
kanumuru,2590
konijerla,3652
kothapalli,924
lingala,2341
meduru,4357
nemali,2867
peda komera,2881
sobbala,3088
ummadidevarapalli,862
vinagadapa,3129
ajjampudi,1228
allapuram,2059
b.b.gudem,1790
buddavaram,10309
buthumillipadu,433
chikkavaram,1666
chinaavutapalli,2574
gannavaram,1524
gollanapalli,2707
gopavarapugudem,1547
jakkulanekkalam,806
kesarapalli,1404
kondapavuluru,2484
kothagudem,500
mustabad,7232
purushottapatnam,1859
savaragudem,1183
surampalli,7789
tempalli,2661
veerapanenigudem,5434
chilakalapudi,887
chinakallepalli,1244
chitturu,897
chiturpu,2501
daliparru,1352
devarakota,500
ghantasalapalem,9248
goginenipalem,7153
kodali,2925
kothapalli,924
lankapalli,2448
mallampalli,339
pushadam,956
tadepalli,1468
teluguraopalem,1210
v.rudravaram,783
vemulapalli,964
yendakuduru,1205
billapadu,1076
bommuluru,2332
chirichintala,989
chowtapalli,2190
dondapadu,347
guntakoduru,984
kalvapudiagraharam,1025
moturu,4092
nuzella,204
ramannapudi,1391
seepudi,500
seridintakurru,804
serigolvepalli,1049
serivelpuru,1183
siddantham,343
tattivarru,1212
valivarthipadu,2935
angaluru,500
chandrala,1519
chinagonnuru,641
chitram,531
dokiparru,5909
gadepudi,427
gudlavalleru,500
kattavanicheruvu,3382
kowthavaram,7170
kurada,2752
mamidikolla,476
mutcherla,447
penjendra,1637
puritipadu,1112
seridaggumilli,1537
serikalvapudi,1974
vadlamannadu,4316
vemavaram,229
venuthurumilli,1127
vulavalapudi,626
akulamannadu,5492
akumarru,635
chittiguduru,1100
gandram,443
guduru,6786
gurijepalli,495
idugullapalli,1264
jakkamcherla,583
kalapatam,445
kanchakoduru,1162
kankatava,2141
kappaladoddi,3142
kokanarayanapalem,1305
lellagaruvu,726
maddipatla,556
mallavolu,6886
mukkollu,2020
narikedalavaripalem,786
pinaguduru lanka,397
polavaram,3345
ramannapeta,785
ramanujavartharlpalli,787
ramarajupalem,1634
rayavaram,2633
tarakaturu,3680
chilukuru,1003
damuluru,2112
elaprolu,2076
guntupalli,11187
ibrahimpatnam,29432
jupudi,4765
ketanakonda,5170
kondapalli,33373
kotikalapudi,3059
mulapadu,4188
thummalapalem,2698
annavaram,3917
anumanchipalli,332
balusupadu,2205
bandipalem,4568
budawada,128
chillakallu,3295
gandrai,836
gowravaram,4781
jayanthipuram,1275
k. agraharam,2759
malkapuram,2798
mukteswarapuram,2742
pochampalli,3798
sher mohammad pet,7002
takkellapadu,1320
vedadri,2155
achavaram,2394
alapadu,2088
atapaka,5460
bhujabalapatnam,72
chatakai,6046
doddipatla,1509
gonepadu,1088
gopavaram,2157
gummallapadu,8325
kaikaluru,21292
kottada,3359
pallewada,2977
penchikalamarru,2264
rachapatnam,2402
ramavaram,1532
seethanapalli,1564
syamalambapuram,727
tamarakollu,2783
vadarlapadu,1621
varahapatnam,2714
vemavarappadu,2744
vinjaram,1636
amaravathi,1463
avakuru,1063
gopalapuram,4164
kallapalem,3474
konduru,1867
korukollu,8333
kotcherla,1231
mattagunta,1926
padamati palem,18059
peda lanka,11824
pothumarru,3781
prodduvaka,1268
sanarudravaram,4110
santoshpuram,5397
tadinada,6616
venkatapuram,1347
battinapadu,696
chevitikallu,2588
gandepalli,3476
gani atkuru,4630
gottumukkala,4390
kachavaram,2212
kanchikacherla,22756
keesara,500
kunikinapadu,1004
moguluru,5578
munnaluru,913
paritala,9726
pendyala,6951
perakalapadu,1493
s amaravaram,1067
vemulapalli,964
chalivendrapalem,1043
davuluru,1490
edupugallu,9263
godavarru,3457
gollagudem,7235
jagannadhapuram,606
kandalampadu,296
kankipadu,14616
kasaranenivari palem,3019
kolavennu,5076
kunderu,3065
mantena,2347
maredumaka,997
neppalli,1949
prodduturu,1681
royyuru,2383
tenneru,3646
uppaluru,5105
velpuru,453
hamsala deevi,4831
koduru,14747
lingareddipalem,5530
machavaram,1575
mandapakala,4869
pittlalanka,2820
ramakrishnapuram,2432
salempalem,2569
viswanathapalli,5908
cherukumilli,1174
garisepudi,1053
interu,1309
komallapudi,1850
kruthivennu,7585
matlam,3683
munipeda,1422
neelupudi,2049
nidamarru,6613
padatadika,8138
pallipalem,5471
seethanapalli,1564
arisepalli,833
bhogireddipalli,2350
borrapothupalem,1282
buddalapalem,1316
china karagraharam,4689
chinnapuram,5204
chirivellapalem,2138
garaladibba,570
gokavaram,1378
gollapalem,3016
gopuvanipalem,1016
gundupalem,1857
k.p.t.palem,2567
kanuru,2609
kona,3124
mekavanipalem,2178
pedapatnam,1997
polatitippa,2431
pothepalli,1034
pothureddipalem,2943
potlapalem,752
rudravaram,1779
s.n.gollapalem,6005
tallapalem,7304
tapasipudi,813
vadapalem,4765
appapuram,547
ayyavari rudravaram,1972
bhyravapatnam,1127
chavalipadu,1483
chintalapudi,231
chintapadu,1015
gannavaram,1524
ingilipakalanka,1185
kanukollu,4007
korlapadu,500
kovvadalanka,1682
lingala,2341
lokumudi,2366
mandavalli,4996
manugunuru,776
mokhasakalvapudi,504
mudutallapadu,977
nandigamalanka,1035
nutchumilli,1041
pasalapudi,799
penumakalanka,1868
perikigudem,4033
prathipadu,510
pulaparru,121
putlacheruvu,1873
singanapudi,1182
takkellapadu,1320
unikili,2371
bobbarlanka,754
kokkiligadda,4893
kosuruvaripalem,3781
mellamarthilanka,573
merakanapalli,392
mopidevi,7438
mopidevilanka,615
nagaitippa,1643
pedakallepalli,137
pedaprolu,3769
venkatapuram,1347
avurupudi,1180
ayyanki,2869
barlapudi,527
chinamuthevi,2482
gudapadu,1131
kaza,7687
kosuru,5099
kuchipudi,3941
mantripalem,5999
movva,5653
palankipadu,649
pedamuthevi,3300
pedapudi,3264
pedasanagallu,3290
vemulamada,1672
yeddanapudi,1215
alluru,1551
bomminampadu,3473
chigurukota,3490
china palaparru,912
chinakamanapudi,751
dakaram,696
devapudi,1337
edepalli,486
guraja,4551
kakaravada,434
koduru,14747
komarru,840
korraguntapalem,2667
mudinepalli,6463
mulakalapalli,704
pedagonnuru,3868
pedakamanapudi,766
pedapalaparru,2910
penumalli,850
peruru,500
peyyeru,2914
sankarshanapuram,599
singarayapalem,131
sriharipuram,3345
vadali,3791
vanuduru,2280
vutukuru,2066
balive,1798
chillaboinapalli,1677
chintalavalli,4590
gopavaram,2157
gullapudi,5459
katrenipadu,5673
korlagunta,131
lopudi,3093
musunuru,6095
ramanakkapeta,4374
surepalli,2204
velpucherla,4158
yellapuram,1173
chandragudem,789
chandrala,1519
ganapavaram,3677
keerthirayani gudem,500
morsumilli,110
mylavaram,21763
pulluru,1067
velvadam,6905
chodavaram,1242
etimoga,4076
nachugunta,5979
nagayalanka,9321
nali,4284
parrachivara,3847
sorlagondi,5093
t.kothapalem,6114
talagadadeevi,1302
vakkapatlavaripalem,3580
adaviravulapadu,2101
ambarupet,2379
chandapuram,2084
damuluru,2112
gollamudi,2127
ithavaram,2401
kammavaripalem,4032
kanchela,2027
kethaveerunipadu,1980
konatamatmakuru,1634
konduru,1867
lingalapadu,1901
magallu,3830
munagacherla,1296
pallagiri,1778
peddavaram,1231
ramireddipalli,2410
rudravaram,1779
somavaram,1324
takkellapadu,1320
torragudipadu,551
anamanapudi,1062
aripirala,1286
chedurthipadu,453
chinalingala,527
dandiganapudi,1611
gandepudi,198
ilaparru,3508
janardhanapuram,3279
nandivada,1317
oddulameraka,278
pedalingala,1227
pedavirivada,964
ponukumadu,766
puttagunta,1791
rudrapaka,2475
sankarampadu,3251
tamirisa,3776
tummalapalli,1674
vennanapudi,1514
annavaram,3917
battulavarigudem,1994
boravancha,2687
devaragunta,2518
digavalli,6378
gollapalli,5196
hanumanthulagudem,1759
jangamgudem,2159
m.n.palem,1863
marribandam,2590
meerjapuram,5241
morsapudi,1720
mukkollupadu,2632
pallerlamudi,4225
patha ravicherla,3572
polasanapalli,2400
pothureddipalli,4116
ramannagudem,765
seetharampuram,1697
siddardhanagar,1678
sunkollu,2937
tukkuluru,3327
venkatayapalem,2245
addada,1040
balliparru,466
inampudi,1268
jujjavaram,2521
kanumuru,2590
kapavaram,500
komaravolu,2230
kondiparru,1595
kurumaddali,3197
nibhanupudi,928
nimmakuru,1818
nimmaluru,1000
pamarru,21395
pasumarru,1863
pedamaddali,3490
polavaram,3345
prakarla,386
raparla,998
rimmanapudi,1080
undrapudi,721
uruturu,879
yelakurru,1144
zamidaggumilli,396
zamigolvepalli,2545
choragudi,5303
gurajada,1970
hanumanthapuram,2175
inampudi,1268
inapuru,2322
kapileswarapuram,5689
krishnapuram,3525
kuderu,1543
lankapalli,2448
mamillapalli,697
mantada,5268
marriwada,2021
meduru,4357
mullapudi,1013
pamidimukkala,3185
tadanki,2869
veeranki,1322
balliparru,466
chennuru,3326
chevendra,2197
chodavaram,1242
gurivindagunta,374
jinjeru,1914
kakarlamudi,2071
kamalapuram,1703
kongamcherla,202
konkepudi,2551
koppalli,464
lankalakalavagunta,906
madaka,1417
nadupuru,1366
nandamuru,2982
nandigama,2610
nelakondapalli,529
penumalli,850
pullapadu,436
serivarthalapalli,329
urivi,1666
appikatla,949
bhushanagulla,2029
chinaparupudi,1209
guruvindagunta,685
jamidintakurru,616
juvvanapudi,598
kornipadu,921
maheswarapuram,492
moparru,1609
nagapuram,4163
pedaparupudi,2835
ravulapadu,347
vanapamula,1714
ventrapragada,6500
vinjarampadu,1128
chodavaram,1242
ganguru,500
gosala,6325
kanuru,2609
pedapulipaka,2571
penamaluru,500
poranki,25545
tadigadapa,17462
vanukuru,6625
anigandlapadu,8062
gummadidurru,3132
kollikulla,1392
konakanchi,3372
lingagudem,1847
muchintala,2577
mundlapadu,3254
penuganchiprolu,14374
subbayagudem,1713
thotacherla,2028
venganayakunipalem,3916
venkatapuram,1347
anneraopeta,2590
kudapa,2785
kunaparajuparva,5370
naguluru,3644
narukullapadu,2029
patha naguluru,1231
rangapuram,6588
reddigudem,9873
rudravaram,1779
boddapadu,1466
chagantipadu,2896
chinapulipaka,1003
devarapalli,2710
garikaparru,2945
gurivindapalli,37
iluru,1475
kanakavali,710
kummamuru,1304
penamakuru,2356
thotlavalluru,8720
vallurupalem,6881
yakamuru,2447
akkapalem,1494
anjaneyapuram,1483
chinthalapadu,3032
chittela,1315
chowtapalli,2190
kakarla,1637
kokilampadu,2360
lakshmipuram,12925
mallela,2650
munukulla,3954
mustikuntla,4044
peddavaram,1231
rolupadi,2950
vamakuntla,2039
vavilala,4057
amudalapalli,614
bokinala,562
chagantipadu,2896
chikanala,310
elukapadu,487
garapadu,934
indupalli,3277
lankapalli,2448
madhirapadu,430
manikonda,6444
mukkapadu,848
nandamuru,2982
ponukumadu,766
pottipadu,2986
tarigoppula,500
thuttagunta,306
unguturu,2333
velinuthala,502
vemanda,1215
vempadu,1417
allurupadu,1207
bhimavaram,5543
chinamodugupalli,978
dabbakupalli,3971
dechupalem,500
gopinenipalem,2752
indugapalli,2311
kakaravai,1856
kanneveedu,2182
khambhampadu,500
lingala,2341
machineni palem,1696
makkapet,500
mangollu,4392
pedamodugupalli,1150
pentyalavari gudem,3985
pochavaram,560
singavaram,3175
talluru,1311
vatsavai,9554
vemavaram,229
vemulanarva,1506
alluru,1551
chattannavaram,500
chennaraopalem,1281
chowtapalli,2190
dachavaram,888
doddadevarapadu,2144
gokarajupalli,670
gudem madhavaram,1520
jagannadhapuram,606
jammavaram,1157
jayanthi,4433
jujjuru,7236
konatalapalli,2664
nandaluru,950
narasimharao palem,1676
peddapuram,3624
ponnavaram,1856
thatigummi,976
veerullapadu,500
vellanki,2887
ambapuram,500
enikepadu,500
gollapudi,500
gudavalli,6653
jakkampudi,500
k tadepalli,508
nidamanuru,500
nunna,500
p nainavaram,500
paidurupadu,2410
pathapadu,500
rayanapadu,3504
akunuru,3207
bollapadu,1638
china ogirala,3239
gandigunta,46490
jabarlapudi,134
kadavakollu,904
kalavapamula,3646
katuru,7132
mudunuru,3859
peda ogirala,3842
saipuram,881
